standard_name,Cg-ORF,Cg-length,avg_ess_score,mean_treated_cpm,Sc-ORF,Sc-name,SGD-essentiality,SGD-description,Cg-to-Sc-relationship,pre-WGD-Ancestor,n_pools,pools_present
GWK60_G06985,CAGL0G07293g,2829,0.5275,6549.440343013004,YML029W,USA1,NA,"Scaffold subunit of the Hrd1p ubiquitin ligase; also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts with the U1 snRNP-specific protein, Snp1p",1-to-1,Anc_5.570,4,"1,2,3,4"
GWK60_D06567,CAGL0D06380g,1044,0.22000000000000003,6321.131500675841,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_A01441,CAGL0A01628g,1275,0.345,6226.850921086322,YGL035C,MIG1,NA,Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase; regulates filamentous growth along with Mig2p in response to glucose depletion,1-to-1,Anc_4.080,4,"1,2,3,4"
GWK60_F02431,CAGL0F02717g,4629,0.4425,5840.217705233148,YDR406W,PDR15,NA,"Plasma membrane ATP binding cassette (ABC) transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog, PDR5, that arose from the whole genome duplication",2-to-2,Anc_5.500,4,"1,2,3,4"
GWK60_M10747,CAGL0M10829g,5004,0.2625,5664.930181946139,YNR031C,SSK2,NA,"MAP kinase kinase kinase of HOG1 mitogen-activated signaling pathway; interacts with Ssk1p, leading to autophosphorylation and activation of Ssk2p which phosphorylates Pbs2p; also mediates actin cytoskeleton recovery from osmotic stress; SSK2 has a paralog, SSK22, that arose from the whole genome duplication",1-to-2,Anc_6.341,4,"1,2,3,4"
GWK60_C04477,CAGL0C04961g,2049,0.025,5639.952257101337,YJR106W,ECM27,NA,"Putative protein of unknown function; may play a role in cell wall biosynthesis, mutants are hypersensitive to Papulacandin B; null mutants have increased plasmid loss; displays a two-hybrid interaction with Pdr5p",1-to-1,Anc_7.498,4,"1,2,3,4"
GWK60_C04279,CAGL0C04785g,846,0.13999999999999999,5585.194891740902,YJR115W,NA,NA,"Putative protein of unknown function; YJR115W has a paralog, ECM13, that arose from the whole genome duplication",2-to-2,Anc_7.483,4,"1,2,3,4"
GWK60_B03531,CAGL0B03685g,816,0.0875,5030.014908208783,NA,NA,NA,NA,2-to-1,Anc_1.421,4,"1,2,3,4"
GWK60_L13057,CAGL0L09042g,1167,0.5475,4980.553578411107,YPL001W,HAT1,NA,Catalytic subunit of the Hat1p-Hat2p histone acetyltransferase complex; uses the cofactor acetyl coenzyme A to acetylate free nuclear and cytoplasmic histone H4; involved in telomeric silencing and DNA double-strand break repair,1-to-1,Anc_8.090,4,"1,2,3,4"
GWK60_A00407,CAGL0A00517g,3369,0.25,4860.025986323302,YGL006W,PMC1,NA,Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a,1-to-1,Anc_4.117,4,"1,2,3,4"
GWK60_I03399,CAGL0I07909g,9111,0.13,4683.89388028865,YOL081W,IRA2,NA,"GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions; similar to human neurofibromin; IRA2 has a paralog, IRA1, that arose from the whole genome duplication",2-to-2,Anc_3.124,4,"1,2,3,4"
GWK60_E04609,CAGL0E04906g,1086,0.0925,4630.406846639498,YDR214W,AHA1,NA,Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress,1-to-1,Anc_8.424,4,"1,2,3,4"
GWK60_F06589,CAGL0F07007g,1458,0.31,4317.998558487061,YGL059W,PKP2,NA,Mitochondrial protein kinase; negatively regulates activity of the pyruvate dehydrogenase complex by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp1p and phosphatases Ptc5p and Ptc6p; relocalizes from mitochondrion to cytoplasm upon DNA replication stress,1-to-1,Anc_6.110,4,"1,2,3,4"
GWK60_A00671,CAGL0A00781g,3789,0.0175,4281.515742352087,YAL002W,VPS8,NA,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,1-to-1,Anc_4.129,4,"1,2,3,4"
GWK60_L14773,CAGL0L10802g,1554,0.0225,4044.9228460185263,YCR045C,RRT12,NA,Probable subtilisin-family protease; role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores,1-to-1,Anc_6.313,4,"1,2,3,4"
GWK60_A03179,CAGL0A03300g,1560,0.5725,4038.00331135721,YGL192W,IME4,NA,"mRNA N6-adenosine methyltransferase required for entry into meiosis; mediates N6-adenosine methylation of bulk mRNA during the induction of sporulation which includes the meiotic regulators IME1, IME2 and IME4 itself; repressed in haploids via production of antisense IME4 transcripts; transcribed in diploid cells where antisense transcription is repressed; orthologous to human METTL3 (MT-A70)",1-to-1,Anc_8.152,4,"1,2,3,4"
GWK60_A00649,CAGL0A00737g,1650,0.0975,4003.614641219556,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_H08151,CAGL0H08195g,1752,0.0925,3728.345474259617,YOR027W,STI1,NA,Hsp90 cochaperone; interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop,1-to-1,Anc_5.617,4,"1,2,3,4"
GWK60_E02013,CAGL0E02233g,801,0.0775,3712.327834788443,YNL289W,PCL1,NA,"Cyclin, interacts with cyclin-dependent kinase Pho85p; member of the Pcl1,2-like subfamily, involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; is ubiquitinated by Dma1p; phosphorylation by Pho85p targets it for degradation; localizes to sites of polarized cell growth",1-to-1,Anc_3.070,4,"1,2,3,4"
GWK60_B03663,CAGL0B03839g,1524,0.0425,3609.0654054618867,YJR010W,MET3,NA,"ATP sulfurylase; catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism",1-to-1,Anc_5.154,4,"1,2,3,4"
GWK60_C03377,CAGL0C03762g,699,0.05,3561.779088170264,YIL007C,NAS2,NA,Proteasome-interacting protein; involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); similar to mammalian proteasomal modulator subunit; non-essential gene; interacts with Rpn4p; protein abundance increases in response to DNA replication stress,1-to-1,Anc_7.130,4,"1,2,3,4"
GWK60_C02849,CAGL0C03245g,480,0.07250000000000001,3501.2167654668274,YLL042C,ATG10,NA,"Conserved E2-like conjugating enzyme; mediates formation of the Atg12p-Atg5p conjugate, which is a critical step in autophagy",1-to-1,Anc_4.012,4,"1,2,3,4"
GWK60_A01111,CAGL0A01199g,1842,0.18,3418.948610552274,YPL265W,DIP5,NA,"Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress",1-to-1,NA,4,"1,2,3,4"
GWK60_B03355,CAGL0B03531g,933,0.0525,3397.7530467572597,YCR015C,NA,NA,Putative protein of unknown function; YCR015C is not an essential gene,1-to-1,Anc_1.430,4,"1,2,3,4"
GWK60_H08129,CAGL0H08173g,480,0.025,3349.3816638482876,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_L11957,CAGL0L03267g,1794,0.23500000000000001,3342.993518205429,YKR039W,GAP1,NA,General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth,1-to-1,Anc_1.244,4,"1,2,3,4"
GWK60_B02717,CAGL0B02838g,1779,0.4375,3337.7863375221345,NA,NA,NA,NA,2-to-1,Anc_4.195,4,"1,2,3,4"
GWK60_B04411,CAGL0B04543g,954,0.14750000000000002,3155.9729051312765,YOR100C,CRC1,NA,Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation,1-to-1,Anc_2.184,4,"1,2,3,4"
GWK60_F01573,CAGL0F01815g,945,0.0775,3100.0003147915886,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_L13079,CAGL0L09086g,1443,0.125,3043.4090031734386,YPR001W,CIT3,NA,Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate,1-to-1,Anc_8.092,4,"1,2,3,4"
GWK60_D04521,CAGL0D04356g,1176,0.4475,2982.9846757566984,YDR019C,GCV1,NA,"T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm",1-to-1,Anc_3.246,4,"1,2,3,4"
GWK60_C03861,CAGL0C04323g,2253,0.115,2948.8087423040047,YBR001C,NTH2,NA,"Putative neutral trehalase, required for thermotolerance; may mediate resistance to other cellular stresses; NTH2 has a paralog, NTH1, that arose from the whole genome duplication",2-to-2,Anc_3.205,4,"1,2,3,4"
GWK60_H09999,CAGL0H10054g,1062,0.105,2937.598032155306,YBR053C,NA,NA,Putative protein of unknown function; induced by cell wall perturbation,1-to-1,Anc_3.262,4,"1,2,3,4"
GWK60_H00539,CAGL0H00737g,3129,0.7525000000000001,2696.348622674247,YPL249C,GYP5,NA,"GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth; relocalizes from bud neck to cytoplasm upon DNA replication stress; GYP5 has a paralog, GYL1, that arose from the whole genome duplication",2-to-2,Anc_6.281,4,"1,2,3,4"
GWK60_M10373,CAGL0M10395g,4998,0.26,2677.3681356681254,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_G02585,CAGL0G02717g,1548,0.4875,2609.483254282278,YIL099W,SGA1,NA,"Intracellular sporulation-specific glucoamylase; involved in glycogen degradation; induced during starvation of a/a diploids late in sporulation, but dispensable for sporulation",1-to-1,Anc_2.276,4,"1,2,3,4"
GWK60_C03201,CAGL0C03597g,1743,0.3275,2552.6117829817363,YCR088W,ABP1,NA,"Actin-binding protein of the cortical actin cytoskeleton; important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization; phosphorylation within its PRR (Proline-Rich Region), mediated by Cdc28p and Pho85p, protects Abp1p from proteolysis mediated by its own PEST sequences",1-to-1,Anc_6.366,4,"1,2,3,4"
GWK60_J02013,CAGL0J02156g,1503,0.0425,2543.7470670036137,YIL001W,NA,NA,Putative protein of unknown function; contains a BTB/POZ domain which generally function in protein interactions; deletion slightly improved competitive fitness in rich media; GFP-tagged protein is localized to the cytoplasm,1-to-1,Anc_7.143,4,"1,2,3,4"
GWK60_B03333,CAGL0B03509g,1794,0.245,2529.9841599811152,YLR248W,RCK2,NA,"Protein kinase involved in response to oxidative and osmotic stress; identified as suppressor of S. pombe cell cycle checkpoint mutations; similar to CaM (calmodulin) kinases; RCK2 has a paralog, RCK1, that arose from the whole genome duplication",2-to-2,Anc_1.390,4,"1,2,3,4"
GWK60_M08481,CAGL0M08536g,1227,0.0625,2432.2462842608147,YKL162C,NA,NA,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion,1-to-1,Anc_5.646,4,"1,2,3,4"
GWK60_C04367,CAGL0C04873g,882,0.0875,2367.5511224747074,YJR111C,NA,NA,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondria,1-to-1,Anc_7.490,4,"1,2,3,4"
GWK60_D00605,CAGL0D00506g,984,0.065,2360.028520956964,YKL183W,LOT5,NA,Protein of unknown function; gene expression increases in cultures shifted to a lower temperature; protein abundance increases in response to DNA replication stress,1-to-1,Anc_4.281,4,"1,2,3,4"
GWK60_D06083,CAGL0D05918g,1695,0.3425,2359.7898061995456,YGR177C,ATF2,NA,"Alcohol acetyltransferase; may play a role in steroid detoxification; forms volatile esters during fermentation, which is important for brewing and winemaking",1-to-1,Anc_5.184,4,"1,2,3,4"
GWK60_C00693,CAGL0C01133g,3111,0.4575,2353.8680879171047,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_E04037,CAGL0E04356g,711,0.1925,2352.9819230947382,YHR008C,SOD2,NA,Mitochondrial manganese superoxide dismutase; protects cells against oxygen toxicity; phosphorylated,1-to-1,Anc_5.590,4,"1,2,3,4"
GWK60_J00737,CAGL0J00847g,2133,0.39749999999999996,2281.5616141478336,YJL045W,NA,NA,"Minor succinate dehydrogenase isozyme; participates in oxidation of succinate and transfer of electrons to ubiquinone; induced during the diauxic shift in a Cat8p-dependent manner; YJL045W has a paralog, SDH1, that arose from the whole genome duplication",1-to-2,Anc_5.253,4,"1,2,3,4"
GWK60_G00187,CAGL0G00297g,267,0.135,2197.435630864197,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_I01485,CAGL0I06028g,1737,0.3525,2172.3694908582224,YJL149W,DAS1,NA,Putative SCF ubiquitin ligase F-box protein; interacts physically with both Cdc53p and Skp1 and genetically with CDC34; similar to putative F-box protein YDR131C,1-to-1,Anc_1.198,4,"1,2,3,4"
GWK60_M10417,CAGL0M10439g,2310,0.18,2165.2016783539702,YDR001C,NTH1,NA,"Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; may be phosphorylated by Cdc28p; inhibited by Dcs1p; NTH1 has a paralog, NTH2, that arose from the whole genome duplication",2-to-2,Anc_3.205,4,"1,2,3,4"
GWK60_C02123,CAGL0C02519g,957,0.26,2154.0245088440884,YER028C,MIG3,NA,"Transcriptional regulator; partially nonfunctional in S288C strains but has a major role in catabolite repression and ethanol response in some other strains; involved in response to toxic agents; phosphorylation by Snf1p or the Mec1p pathway inactivates Mig3p, allowing induction of damage response genes; MIG3 has a paralog, MIG2, that arose from the whole genome duplication",2-to-2,Anc_3.518,4,"1,2,3,4"
GWK60_F02101,CAGL0F02387g,2859,0.2925,2137.2311976862566,YJL198W,PHO90,NA,"Low-affinity phosphate transporter; acts upstream of Pho81p in regulation of the PHO pathway; deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth; PHO90 has a paralog, PHO87, that arose from the whole genome duplication",1-to-2,Anc_1.136,4,"1,2,3,4"
GWK60_D06589,CAGL0D06402g,1329,0.11750000000000001,2123.268738376742,YLR303W,MET17,NA,O-acetyl homoserine-O-acetyl serine sulfhydrylase; required for Methionine and cysteine biosynthesis,1-to-1,Anc_4.053,4,"1,2,3,4"
GWK60_L11341,CAGL0L03894g,492,0.0175,2116.6222256676892,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_I05599,CAGL0I10098g,4857,0.305,2108.631086580851,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_D05995,CAGL0D05808g,2331,0.08499999999999999,2095.3548043946066,YLL001W,DNM1,NA,Dynamin-related GTPase involved in mitochondrial organization; required for mitochondrial fission and morphology; assembles on the cytoplasmic face of mitochondrial tubules at sites at which division will occur; also participates in endocytosis and regulating peroxisome abundance,1-to-1,Anc_5.218,4,"1,2,3,4"
GWK60_J01595,CAGL0J01727g,2940,0.2675,2074.9510196853666,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_G09361,CAGL0G09647g,327,0.0525,1997.8897637268938,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_C01177,CAGL0C01573g,1071,0.23750000000000002,1992.414992628215,YBR249C,ARO4,NA,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan; relative distribution to the nucleus increases upon DNA replication stress,1-to-1,Anc_6.168,4,"1,2,3,4"
GWK60_A02079,CAGL0A02255g,819,0.3025,1982.0182162523406,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_J01397,CAGL0J01485g,903,0.0825,1924.7905159102068,YHL013C,OTU2,NA,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; member of the ovarian tumor-like (OTU) superfamily of predicted cysteine proteases; shows cytoplasmic localization; protein abundance increases in response to DNA replication stress",1-to-1,Anc_2.548,4,"1,2,3,4"
GWK60_M07909,CAGL0M07942g,1977,0.4175,1893.6764410162205,YLR047C,FRE8,NA,Protein with sequence similarity to iron/copper reductases; involved in iron homeostasis; deletion mutant has iron deficiency/accumulation growth defects; expression increased in the absence of copper-responsive transcription factor Mac1p,1-to-1,Anc_5.117,4,"1,2,3,4"
GWK60_K03509,CAGL0K03641g,1794,0.4775,1882.8465734041083,YNL008C,ASI3,NA,"Putative integral membrane E3 ubiquitin ligase; acts with Asi1p and Asi2p to ensure the fidelity of SPS-sensor signalling by maintaining the dormant repressed state of gene expression in the absence of inducing signals; ASI3 has a paralog, ASI1, that arose from the whole genome duplication",2-to-2,Anc_2.419,4,"1,2,3,4"
GWK60_J09515,CAGL0J09702g,2088,0.6275,1844.656368457761,YDL203C,ACK1,NA,Protein that functions in the cell wall integrity pathway; functions upstream of Pkc1p; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria,1-to-1,Anc_8.452,4,"1,2,3,4"
GWK60_B02783,CAGL0B02904g,1818,0.13,1841.104163270477,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_C04059,CAGL0C04543g,864,0.2625,1804.647849268674,YJR096W,NA,NA,Putative xylose and arabinose reductase; member of the aldo-keto reductase (AKR) family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,1-to-1,Anc_7.468,4,"1,2,3,4"
GWK60_I03641,CAGL0I08151g,1149,0.155,1789.8111686359125,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_D06061,CAGL0D05896g,2328,0.6725,1779.3528452286898,YGR178C,PBP1,NA,Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress,1-to-1,Anc_5.182,4,"1,2,3,4"
GWK60_I01309,CAGL0I05874g,744,0.1275,1776.7083817749365,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_E02299,CAGL0E02497g,1131,0.3075,1768.047890583776,YOL003C,PFA4,NA,Palmitoyltransferase with autoacylation activity; required for palmitoylation of amino acid permeases containing a C-terminal Phe-Trp-Cys site; required for modification of Chs3p; member of the DHHC family of putative palmitoyltransferases,1-to-1,Anc_6.028,4,"1,2,3,4"
GWK60_F02057,CAGL0F02343g,1038,0.16,1750.3519017117642,YFR007W,YFH7,NA,Putative kinase with similarity to the PRK/URK/PANK kinase subfamily; the PRK/URK/PANK subfamily of P-loop kinases is also known as phosphoribulokinase/uridine kinase/bacterial pantothenate kinase,1-to-1,Anc_8.101,4,"1,2,3,4"
GWK60_C01991,CAGL0C02387g,489,0.0975,1738.6845053708719,YER034W,NA,NA,Protein of unknown function; non-essential gene; expression induced upon calcium shortage; protein abundance increases in response to DNA replication stress,1-to-1,Anc_3.532,4,"1,2,3,4"
GWK60_J01727,CAGL0J01870g,2841,0.3,1687.1983072016026,NA,NA,NA,NA,2-to-1,Anc_8.112,4,"1,2,3,4"
GWK60_F03003,CAGL0F03267g,3993,0.5625,1667.8165783237857,YHR080C,NA,NA,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YHR080C has a paralog, YSP2, that arose from the whole genome duplication",2-to-2,Anc_5.370,4,"1,2,3,4"
GWK60_L02299,CAGL0I02508g,528,0.035,1666.1586134763481,YHR175W,CTR2,NA,"Putative low-affinity copper transporter of the vacuolar membrane; mutation confers resistance to toxic copper concentrations, while overexpression confers resistance to copper starvation",1-to-1,Anc_5.061,4,"1,2,3,4"
GWK60_G02805,CAGL0G02937g,1695,0.28250000000000003,1608.4904834162712,YGR087C,PDC6,NA,"Minor isoform of pyruvate decarboxylase; decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism; transcription is glucose- and ethanol-dependent, and is strongly induced during sulfur limitation",1-to-1,NA,4,"1,2,3,4"
GWK60_J02387,CAGL0J02552g,2688,0.3275,1595.1501390505616,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_L13101,CAGL0L09108g,1536,0.2125,1590.3158235009744,YPR002W,PDH1,NA,"Mitochondrial protein that participates in respiration; induced by diauxic shift; homologous to E. coli PrpD, may take part in the conversion of 2-methylcitrate to 2-methylisocitrate",1-to-1,Anc_8.093,4,"1,2,3,4"
GWK60_H09141,CAGL0H09174g,3096,0.3175,1559.027024703589,YKL197C,PEX1,NA,AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis,1-to-1,Anc_1.506,4,"1,2,3,4"
GWK60_F02145,CAGL0F02431g,2358,0.22499999999999998,1525.3007724955826,YJL200C,ACO2,NA,"Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol",1-to-1,Anc_1.135,4,"1,2,3,4"
GWK60_G00715,CAGL0G00858g,1062,0.07999999999999999,1524.5720820757954,YLR332W,MID2,NA,"O-glycosylated plasma membrane protein; acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p; MID2 has a paralog, MTL1, that arose from the whole genome duplication",2-to-2,Anc_4.159,4,"1,2,3,4"
GWK60_C02805,CAGL0C03201g,9327,0.425,1520.6908573359174,YLL040C,VPS13,NA,"Protein of unknown function; heterooligomeric or homooligomeric complex; peripherally associated with membranes; involved in sporulation, vacuolar protein sorting, prospore membrane formation and protein-Golgi retention; homologous to human CHAC and COH1 which are involved in chorea acanthocytosis and Cohen syndrome, respectively",1-to-1,Anc_4.014,4,"1,2,3,4"
GWK60_H09317,CAGL0H09350g,5898,0.55,1517.8998093997943,YGR184C,UBR1,NA,E3 ubiquitin ligase (N-recognin); heterodimerizes with Rad6p to ubiquitinate substrates in the N-end rule pathway; role in endoplasmic reticulum-associated protein degradation (ERAD) in the absence of canonical ER membrane ligases or after stress; major role in targeting misfolded cytosolic proteins for degradation; regulates peptide transport via Cup9p ubiquitination; mutation in human UBR1 causes Johansson-Blizzard Syndrome (JBS),1-to-1,Anc_5.190,4,"1,2,3,4"
GWK60_J02761,CAGL0J02948g,1548,0.2175,1509.135831881884,YER060W-A,FCY22,NA,Putative purine-cytosine permease; very similar to Fcy2p but cannot substitute for its function,1-to-1,Anc_7.241,4,"1,2,3,4"
GWK60_J01991,CAGL0J02134g,2856,0.1725,1504.6988666860364,YIL002C,INP51,NA,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase; synaptojanin-like protein with an N-terminal Sac1 domain, plays a role in phosphatidylinositol 4,5-bisphosphate homeostasis and in endocytosis; null mutation confers cold-tolerant growth",1-to-1,Anc_7.142,4,"1,2,3,4"
GWK60_H03245,CAGL0H03443g,2121,0.69,1497.349981399473,YGL073W,HSF1,inviable,"Trimeric heat shock transcription factor; activates multiple genes in response to highly diverse stresses, including hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status of cell at the ribosome through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; involved in diauxic shift; posttranslationally regulated",1-to-1,Anc_6.209,4,"1,2,3,4"
GWK60_K04499,CAGL0K04631g,3042,0.415,1453.385340625554,YGR067C,NA,NA,Putative protein of unknown function; contains a zinc finger motif similar to that of Adr1p,1-to-1,Anc_4.214,4,"1,2,3,4"
