Standard name,Common name,Sc ortholog,Essential in Sc,Sc synthetic lethals,Sc fitness,Essential in albicans,Sp ortholog,Essential in Sp,Hits,Reads,Length,Neighborhood index,100 bp upstream hits,Max free region,Freedom index,Logit FI,Kornmann FI,Type,Description
C5_00110C_A,THS1,THS1,,NaN,,No,trs1,Yes,3,12,2121,0.0473566224546983,2,1050,0.49504950495049505,0.49504950270220865,0.0,ORF|Uncharacterized,Putative threonyl-tRNA synthetase; transcript regulated by Mig1 and Tup1; repressed upon phagocytosis by murine macrophages; stationary phase enriched protein; Spider biofilm repressed
C5_00120W_A,,,,,,,,,4,113,297,0.49910873440285203,2,177,0.5959595959595959,0.4321419229252481,0.0,ORF|Uncharacterized,Protein of unknown function
C5_00130C_A,,MRPL38,,,0.7360,,mrpl38,Yes,0,0,399,0.0,3,399,1.0,0.8797431375322491,0.0,ORF|Uncharacterized,Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization
C5_00140C_A,,YHR140W,,,1.0288,,SPBPJ4664.05,No,8,506,417,0.7050359712230215,1,138,0.33093525179856115,0.2970219889321692,0.0,ORF|Uncharacterized,Putative integral membrane protein of unknown function; clade-associated gene expression; Spider biofilm induced
C5_00150C_A,,SRP1,,,,No,cut15,Yes,3,149,1632,0.06755514705882353,3,1047,0.6415441176470589,0.6415437302741148,0.0,ORF|Uncharacterized,"Ortholog(s) have protein binding, bridging, protein transporter activity and role in proteasome localization, protein import into nucleus, protein targeting to membrane"
C5_00160W_A,,,,,,,,,12,1038,735,0.5948218093207432,4,254,0.345578231292517,0.3439451278897845,0.307730921657841,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_50190, C. parapsilosis CDC317 : CPAR2_302680, Candida tenuis NRRL Y-1498 : CANTEDRAFT_109949 and Debaryomyces hansenii CBS767 : DEHA2G00814g"
C5_00170W_A,,,,,,,SPBC25B2.10,No,19,2985,1083,0.6953979150775489,11,196,0.1809787626962142,0.18095229331331766,0.27348170645824377,ORF|Uncharacterized,"Protein with predicted hydrolase domains; similar to a universal stress protein family protein; possibly essential, disruptants not obtained by UAU1 method; Spider biofilm repressed"
C5_00180W_A,AFL1,VIP1,,,0.8393,,asp1,No,14,668,2208,0.25530538302277433,0,458,0.20742753623188406,0.20742753583721488,0.148969892882781,ORF|Uncharacterized,"Ortholog(s) have inositol heptakisphosphate kinase activity, inositol hexakisphosphate 1-kinase activity, inositol hexakisphosphate 3-kinase activity, inositol hexakisphosphate 4-kinase activity, inositol hexakisphosphate 6-kinase activity"
C5_00190C_A,FAS1,FAS1,,,,No,fas1,No,1,1,6114,0.005831235510802008,0,3278,0.5361465489041544,0.5361465489041544,0.0,ORF|Verified,"Beta subunit of fatty-acid synthase; multifunctional enzyme; Hap43, fluconazole-induced; amphotericin B, caspofungin repressed; macrophage/pseudohyphal-induced; flow model and Spider biofilm repressed"
C5_00200C_A,BDF1,BDF1,,No,0.9035,No,bdf2,No,2,2,2130,0.032879499217527385,0,1253,0.5882629107981221,0.5882629083564466,0.0,ORF|Uncharacterized,"Bromodomain transcription factor; repressed upon adherence to polystyrene; reduced mRNA abundance detected in null mutant; macrophage/pseudohyphal-repressed; possibly essential, disruptants not obtained by UAU1 method"
C5_00210C_A,BRE1,BRE1,,,0.6118,?,brl2,No,3,296,2046,0.04415609652686994,0,1582,0.7732160312805474,0.7732160238465107,0.0,ORF|Verified,Putative transcription factor with C3HC4 zinc finger DNA-binding motif; similar to S. cerevisiae Bre1p; transposon mutation affects filamentous growth
C5_00220W_A,ROT2,ROT2,,,1.0152,No,gls2,No,3,262,2616,0.0344097054563013,10,2294,0.8769113149847095,0.8769113149564997,0.0,ORF|Verified,"Alpha-glucosidase II, catalytic subunit, required for N-linked protein glycosylation and normal cell wall synthesis; alkaline downregulated"
C5_00230C_A,,SLX1,,,1.0237,No,slx1,No,10,1862,861,0.3484931841799621,6,306,0.3554006968641115,0.35492267559406615,0.22284539687615057,ORF|Uncharacterized,"Ortholog(s) have 5'-flap endonuclease activity, role in DNA-dependent DNA replication and Slx1-Slx4 complex localization"
C5_00240W_A,SKN7,SKN7,,No,0.9382,No,prr1,No,11,1304,1680,0.18650671925211804,2,409,0.24345238095238095,0.24345228999131696,0.1547934356779526,ORF|Verified,"Putative homolog of S. cerevisiae Skn7p, which is predicted to be a response regulator protein in a phosphorelay signal transduction pathway; required for normal hydrogen peroxide resistance"
C5_00250C_A,,BER1,,,0.9720,,,,8,673,624,0.3747474747474747,6,189,0.30288461538461536,0.29858275689192526,0.20221311730514208,ORF|Uncharacterized,Protein with a predicted role in microtubule-related processes; Spider biofilm induced
C5_00260W_A,,PRS1,,,0.6775,No,SPAC4A8.14,No,1,115,1215,0.022241362809838263,0,1192,0.9810699588477366,0.9810316239758716,0.0,ORF|Uncharacterized,"Ortholog(s) have ribose phosphate diphosphokinase activity and role in 5-phosphoribose 1-diphosphate biosynthetic process, cytokinesis, fungal-type cell wall organization"
C5_00270W_A,PGA14,YNL190W,,,NaN,,,,7,658,396,0.48871063576945933,4,139,0.351010101010101,0.30767192017281275,0.0,ORF|Uncharacterized,Putative GPI-anchored protein; induced during cell wall regeneration; regulated by Ssn6p
C5_00280C_A,,NUC1,,,1.0028,No,pnu1,No,12,756,963,0.340021990104453,0,214,0.2222222222222222,0.22211434997636298,0.223262923326849,ORF|Uncharacterized,"Major mitochondrial nuclease; has RNAse and DNA endo- and exonucleolytic activities; roles in mitochondrial recombination, apoptosis and maintenance of polyploidy; Spider biofilm repressed"
C5_00290W_A,DUS4,DUS4,,NaN,1.0162,,dus4,No,13,1679,1020,0.3584170253467241,11,211,0.2068627450980392,0.2068059451069241,0.2522087635076269,ORF|Uncharacterized,"Ortholog(s) have tRNA dihydrouridine synthase activity, role in tRNA modification and mitochondrion localization"
C5_00300C_A,SMC4,SMC4,,,,No,cut3,Yes,2,56,4107,0.013694643885810664,0,2019,0.49159970781592405,0.49159970781592405,0.0,ORF|Uncharacterized,"Ortholog(s) have ATPase activity, chromatin binding activity, role in DNA unwinding involved in DNA replication, mitotic chromosome condensation, rDNA condensation, tRNA gene clustering and cytosol, nuclear condensin complex localization"
C5_00310C_A,,,,,,,,,5,508,534,0.27968164794007494,5,148,0.27715355805243447,0.26766821097663934,0.0,ORF|Uncharacterized,Protein with a fungal RNA polymerase I subunit RPA14 domain; proposed to play a role in the recruitment of pol I to the promoter; Hap43-induced gene
C5_00320W_A,,MRX14,,,0.5490,,SPBC21C3.04c,Yes,1,5,294,0.1063114134542706,2,289,0.9829931972789115,0.7068700714059012,0.0,ORF|Uncharacterized,"Ortholog(s) have mitochondrion, nucleus localization"
C5_00330C_A,,CSF1,,,0.7732,,,,58,4399,8904,0.22771023302938195,0,597,0.06704851752021564,0.06704851752021564,0.09050091252997465,ORF|Uncharacterized,"Ortholog(s) have role in fermentation, protein maturation and mitochondrion localization"
C5_00340W_A,,,,,,,,,2,174,978,0.0746348750525751,0,651,0.6656441717791411,0.665366040673567,0.0,ORF|Uncharacterized,Protein of unknown function; Spider biofilm repressed
C5_00350C_A,,XDJ1,,,1.0077,No,xdj1,No,16,1722,1320,0.45511363636363633,6,180,0.13636363636363635,0.13636177172603392,0.16614544091906897,ORF|Uncharacterized,Putative DnaJ-like chaperone; Hap43-repressed gene
C5_00360C_A,tS(CAG)1,,,,,,,,0,0,82,0.0,0,82,1.0,0.23505219623623536,0.0,tRNA|Verified,"tRNA-Ser, predicted by tRNAscan-SE; CAG anticodon; responsible for the decoding of CUG as Ser, rather than the usual Leu; more similar to other Ser tRNAs than to Leu tRNAs in hemiascomycetes; has atypical G at position 33"
C5_00370W_A,COF1,COF1,,,,,adf1,Yes,0,0,657,0.0,1,426,1.0,0.9055096310498407,0.0,ORF|Alternatively spliced|Uncharacterized,"Putative cofilin; macrophage-induced protein; protein present in exponential and stationary-phase yeast cells, but higher amounts in stationary phase"
C5_00380W_A,,,,,,,,,13,858,2367,0.1921419518377693,2,600,0.2534854245880862,0.2534854244897323,0.15318837634518456,ORF|Uncharacterized,Has domain(s) with predicted DNA binding activity
C5_00390C_A,,,,,,,,,3,117,489,0.19972733469665988,2,350,0.7157464212678937,0.6780622874184948,0.0,ORF|Uncharacterized,Protein of unknown function; transcript repressed upon yeast-hyphal switch; fluconazole-induced; Hap43-repressed; flow model biofilm induced
C5_00400C_A,,,,,,No,,,11,664,2436,0.14660259918880608,0,567,0.23275862068965517,0.23275862064435696,0.17557057600440099,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_50420, C. parapsilosis CDC317 : CPAR2_304100, Candida tenuis NRRL Y-1498 : CANTEDRAFT_98299 and Debaryomyces hansenii CBS767 : DEHA2B07634g"
C5_00410W_A,,,,,,,,,5,333,342,0.462000589709568,7,148,0.4327485380116959,0.34850902230539904,0.0,ORF|Dubious,Ortholog of Candida albicans WO-1 : CAWG_04435
C5_00420C_A,MRP17,MRP17,,,0.5090,,mrp17,Yes,1,3,360,0.08442982456140351,0,302,0.8388888888888889,0.6979709786401255,0.0,ORF|Uncharacterized,Predicted mitochondrial ribosomal protein
C5_00430W_A,MET14,MET14,,,1.0330,No,met14,No,4,175,603,0.19702014860082787,1,332,0.5505804311774462,0.5409651383155977,0.0,ORF|Uncharacterized,Putative adenylylsulfate kinase; predicted role in sulfur metabolism; possibly adherence-induced; protein present in exponential and stationary growth phase yeast; F-12/CO2 biofilm induced
C5_00440C_A,VPS2,DID4,,,0.6430,No,did4,No,9,840,708,0.37339302846178446,3,178,0.2514124293785311,0.24985833327866278,0.2871224128154874,ORF|Uncharacterized,"Ortholog(s) have role in intralumenal vesicle formation, protein retention in Golgi apparatus, protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"
C5_00450C_A,IFG3,,,,,,dao1,No,12,657,1116,0.3376274127087399,4,350,0.33524904214559387,0.33517662718491975,0.21273144105340425,ORF|Uncharacterized,Putative D-amino acid oxidase; Spider biofilm induced
C5_00460C_A,FET33,GMC1,,,0.9750,No,fio1,No,17,1063,1863,0.2636646659835066,1,663,0.355877616747182,0.3558775954175475,0.23509014631925457,ORF|Verified,Putative multicopper ferro-O2-oxidoreductase; repressed in core caspofungin response; fails to complement S. cerevisiae fet3 iron-related phenotypes; rat catheter and Spider biofilm induced
C5_00470C_A,KRE62,,,,,No,SPAC23H3.11c,No,32,3275,1869,0.46628085992673357,0,210,0.11235955056179775,0.11235954421966884,0.2518796852303196,ORF|Uncharacterized,Putative subunit of glucan synthase; macrophage-induced gene; Bcr1-regulated in a/a RPMI biofilms
C5_00480C_A,SEC14,SEC14,,No,,?,spo20,,0,0,906,0.0,2,906,1.0,0.999141958773035,0.0,ORF|Verified,"Essential protein; functional homolog of S. cerevisiae Sec14p, a Golgi phosphatidylinositol/phosphatidylcholine transfer protein that regulates choline-phosphate cytidyltransferase and thereby affects secretion; biofilm-regulated"
C5_00490C_A,BUD2,BUD2,,,0.9643,No,,,8,223,3714,0.07518802427238853,0,1652,0.4448034464189553,0.4448034464189551,0.0,ORF|Verified,"GTPase activating protein (GAP) for Rsr1; negative regulator of filament branching, acts in hyphal growth guidance; required for wild-type budding pattern; induced in low iron; regulated by tyrosol and cell density"
C5_00500W_A,NAM7,NAM7,,No,0.9925,No,upf1,No,13,277,3060,0.16891503267973854,3,566,0.18496732026143792,0.18496732026136772,0.13893119761768347,ORF|Uncharacterized,Putative role in nonsense-mediated mRNA decay; similar to S. cerevisiae Nam7p; gene induced by ciclopirox olamine treatment
C5_00510W_A,,,,,,,,,11,1030,1446,0.3800589331890072,2,306,0.21161825726141079,0.2116174364522317,0.14963798229731845,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_50520, C. parapsilosis CDC317 : CPAR2_304000, Candida tenuis NRRL Y-1498 : cten_CGOB_00233 and Debaryomyces hansenii CBS767 : DEHA2E12408g"
C5_00520W_A,,,,,,,,,11,1346,474,1.2269176201794632,0,174,0.3670886075949367,0.3448232506815961,0.0,ORF|Dubious,Ortholog of Candida albicans WO-1 : CAWG_04446
C5_00530W_A,,,,,,No,,,24,2745,2325,0.5399303782780227,3,355,0.15268817204301074,0.15268817195284376,0.17640220830097972,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_50530, C. parapsilosis CDC317 : CPAR2_303990, Candida tenuis NRRL Y-1498 : CANTEDRAFT_107934 and Pichia stipitis Pignal : PICST_63283"
C5_00540C_A,AGA1,,,,,,,,15,1499,1062,0.6468844435685193,3,203,0.1911487758945386,0.19111428736156433,0.2305770700197307,ORF|Uncharacterized,Protein with some similarity to agglutinin subunit; expression regulated upon white-opaque switch; Spider biofilm induced
C5_00550C_A,,,,,,,,,2,304,324,0.23871303474016653,0,180,0.5555555555555556,0.4308688968161519,0.0,ORF|Uncharacterized,"Predicted ORF from Assembly 19; removed from Assembly 20; subsequently reinstated in Assembly 21 and merged with orf19.2224, based on comparative genome analysis; flow model biofilm repressed"
C5_00560W_A,,UBC13,,No,0.9580,No,ubc13,No,2,387,510,0.14555052790346906,1,468,0.9176470588235294,0.8780898131128856,0.0,ORF|Uncharacterized,"Ortholog(s) have ubiquitin conjugating enzyme activity, ubiquitin-protein transferase activity and role in UV-damage excision repair, free ubiquitin chain polymerization, postreplication repair, protein K63-linked ubiquitination"
C5_00570W_A,,DNF1,,NaN,1.0380,,SPAC24B11.12c,No,32,3389,5151,0.21023786678286954,2,1124,0.21821005629974763,0.21821005629974763,0.15294990198298286,ORF|Uncharacterized,"Putative aminophospholipid translocase (flippase); merged with orf19.2226 in Assembly 21; possibly an essential gene, disruptants not obtained by UAU1 method"
C5_00580W_A,,,,,,No,,,18,1395,2085,0.26009426941205654,2,423,0.20287769784172663,0.20287769652109006,0.21345550419397846,ORF|Uncharacterized,Ortholog of Candida albicans WO-1 : CAWG_04452
C5_00590W_A,PET9,PET9,,NaN,,No,anc1,No,2,45,906,0.06489416958836515,0,820,0.9050772626931567,0.9043006690881774,0.0,ORF|Verified,Mitochondrial ADP/ATP carrier protein involved in ATP biosynthesis; possible lipid raft component; 3 predicted transmembrane helices; flucytosine induced; ketoconazole-induced; downregulated by Efg1p
C5_00600C_A,,,,,,,,,23,1817,1308,0.48141184654355507,3,158,0.12079510703363915,0.12079324469013807,0.1750325100414855,ORF|Uncharacterized,Protein of unknown function; rat catheter biofilm repressed
C5_00610C_A,,,,,,,,,17,645,1863,0.2585325868954813,4,246,0.1320450885668277,0.13204508065266468,0.20612670203351907,ORF|Uncharacterized,"Ortholog of C. dubliniensis CD36 : Cd36_50610, C. parapsilosis CDC317 : CPAR2_303690, Candida tenuis NRRL Y-1498 : CANTEDRAFT_93989 and Debaryomyces hansenii CBS767 : DEHA2E15400g"
C5_00620W_A,,CGI121,,,NaN,,cgi121,No,2,69,612,0.09566370055384939,1,420,0.6862745098039216,0.6753045158435865,0.0,ORF|Uncharacterized,"Ortholog(s) have role in positive regulation of transcription from RNA polymerase II promoter, regulation of cell aging, telomere maintenance via recombination and EKC/KEOPS complex, cytosol, nucleus localization"
C5_00630C_A,EXO1,EXO1,,No,1.0128,No,exo1,No,22,2200,2100,0.30832010582010577,10,293,0.13952380952380952,0.13952380874208603,0.1792296271804951,ORF|Uncharacterized,Putative exodeoxyribonuclease; cell-cycle regulated periodic mRNA expression
C5_00640C_A,SAM51,,,,,No,,,8,146,1527,0.1486836935166994,1,689,0.45121152586771446,0.4512107473084792,0.0,ORF|Verified,"Component of the SAM complex involved in mitochondrial protein import, involved in beta-barrel protein assembly; member of the Omp85 protein family"
C5_00650C_A,THR1,THR1,,,NaN,No,thr1,Yes,5,280,1074,0.12965386568738527,5,345,0.32122905027932963,0.32117764454861,0.0,ORF|Uncharacterized,Putative homoserine kinase; regulated by Tup1; amphotericin B repressed; regulated by Gcn2 and Gcn4; Spider biofilm repressed
C5_00660C_A,ERG11,ERG11,,,,No,erg11,Yes,1,230,1587,0.017152229511842542,0,1576,0.9930686830497795,0.9930677426459019,0.0,ORF|Verified,Lanosterol 14-alpha-demethylase; cytochrome P450 family; role in ergosterol biosynthesis; target of azole antifungals; may contribute to drug resistance; azole or flow model biofilm induced; drug treated biofilm induced; hypoxia regulated
C5_00670C_A,HMS1,,,,,No,sre1,No,9,421,2058,0.121205111642604,0,462,0.22448979591836735,0.22448979400408883,0.10411138148212783,ORF|Verified,hLh domain Myc-type transcript factor; required for morphogenesis induced by elevated temperature or Hsp90 compromise; acts downstream of Pcl1; Spider biofilm induced
C5_00680W_A,RMT2,RMT2,,,1.0425,No,rmt2,No,9,622,1356,0.22430706294873937,8,263,0.193952802359882,0.19395095203621018,0.15735017086599068,ORF|Verified,Minor protein arginine methyltransferases (PRMT) involved in methylation of arginine residues
C5_00690C_A,TFB3,TFB3,,,,?,pmh1,Yes,0,0,1143,0.0,0,1083,1.0,0.9998537431547093,0.0,ORF|Uncharacterized,Putative C3HC4 zinc finger transcription factor; transcript positively regulated by Tbf1; Spider biofilm induced
C5_00700C_A,SPE2,SPE2,,,0.7750,,spe2,No,2,55,1146,0.06076471521497699,0,1100,0.9598603839441536,0.9597856103191483,0.0,ORF|Uncharacterized,Putative S-adenosylmethionine decarboxylase; Hap43-induced gene; possibly adherence-induced; Spider biofilm induced
C5_00710W_A,IFF8,,,,,No,,,39,3535,2145,0.6544880986521364,0,330,0.15384615384615385,0.15384615329653836,0.3140607397000222,ORF|Verified,Putative GPI-anchored adhesin-like protein; decreased transcription is observed in an azole-resistant strain that overexpresses MDR1
C5_00720W_A,,,,,,,,,11,795,194,2.248072613177947,12,95,0.4896907216494845,0.23750220281523732,0.0,long_terminal_repeat,"Long terminal repeat (LTR) associated with the transposon Tca10; about 192 bp long, 11 copies per genome"
C5_00730W_A,HYR3,,,,,No,,,77,9229,3750,0.7358228070175439,1,308,0.08213333333333334,0.0821333333333333,0.24142170904871005,ORF|Verified,Putative GPI-anchored adhesin-like protein; similar to Hyr1p induced in high iron; clade-specific repeat variation
C5_00740W_A,CTF8,CTF8,,,0.8718,,,,12,806,489,0.8211829070724777,14,185,0.3783231083844581,0.3584043519212044,0.36954062659671855,ORF|Uncharacterized,Putative kinetochore protein with a predicted role in sister chromatid cohesion; repressed during the mating process; flow model biofilm induced
C5_00750C_A,,YDL057W,,,1.0090,,,,29,2820,1983,0.4935073121533031,2,309,0.15582450832072617,0.15582450550775587,0.2643685609098754,ORF|Uncharacterized,Predicted protein tyrosine phosphatase; rat catheter biofilm induced
C5_00760W_A,,MSB3,,NaN,NaN,No,gyp3,No,22,3052,1815,0.36739393939393944,1,389,0.2143250688705234,0.21432504811101585,0.22192301267524592,ORF|Uncharacterized,"Ortholog(s) have GTPase activator activity and role in activation of GTPase activity, endocytosis, exocytosis, formin-nucleated actin cable assembly, regulation of protein localization"
C5_00770C_A,FOL1,FOL1,,,,No,fol1,Yes,0,0,2367,0.0,0,2367,1.0,0.9999999996119939,0.0,ORF|Uncharacterized,Putative dihydroneopterin aldolase (dihydro-6-hydroxymethylpterin pyrophosphokinase); fungal-specific (no human or murine homolog)
C5_00780C_A,,RTC4,,,NaN,No,,,12,720,1053,0.35548203290138775,1,276,0.2621082621082621,0.26205651774643185,0.2995626890662364,ORF|Uncharacterized,Protein of unknown function; mutants are viable; Spider biofilm induced
C5_00790C_A,,NRD1,,,,No,seb1,Yes,15,1189,2097,0.2162807689710009,0,1675,0.798760133524082,0.7987601289124987,0.0,ORF|Uncharacterized,Putative RNA-binding protein; transcript is upregulated in an RHE model of oral candidiasis
C5_00800C_A,,BNA2,,,0.9740,No,,,12,1437,1323,0.3010115963483839,2,321,0.24263038548752835,0.24262716580987462,0.19749980053911395,ORF|Verified,"Indoleamine 2,3-dioxygenase (IDO); rate-limiting enzyme of tryptophan catabolism via kynurenine; enzyme inhibition by 1-methyl-D,L-tryptophan increases hyphal growth; expressed in yeast and hyphae; rat catheter and Spider biofilm induced"
C5_00810C_A,,,,,,No,,,31,3264,876,1.269475768813542,8,182,0.20776255707762556,0.20752199153081624,0.4196745670299547,ORF|Uncharacterized,"Has domain(s) with predicted heme binding, peroxidase activity and role in oxidation-reduction process, response to oxidative stress"
C5_00820W_A,,MRPL17,,,NaN,,mrpl17,Yes,1,59,852,0.03895573169109122,0,844,0.9906103286384976,0.9891526449481258,0.0,ORF|Uncharacterized,Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization
C5_00830C_A,ERV46,ERV46,,,1.0085,No,SPAC24B11.08c,No,11,1170,1245,0.3007683564446465,10,432,0.3469879518072289,0.34697790739593715,0.15575035409863688,ORF|Uncharacterized,Putative ER-derived vesicle protein; COPII-coated vesicle complex subunit; transcript induced by filamentous growth; Spider biofilm repressed
C5_00840W_A,,TEX1,,,NaN,No,tex1,No,32,3505,1194,0.9147323921193269,11,198,0.1658291457286432,0.16582115193785724,0.3947855702622116,ORF|Uncharacterized,Ortholog(s) have mRNA binding activity and transcription export complex localization
C5_00850C_A,,MIX14,,,1.0245,,,,4,546,318,0.42379533740010406,3,186,0.5849056603773585,0.4474223003146548,0.0,ORF|Uncharacterized,"Ortholog(s) have role in aerobic respiration and mitochondrial intermembrane space, nucleus localization"
C5_00860W_A,IMP2,IMP2,,No,0.8153,,mmp2,No,2,12,489,0.13274743314864743,1,413,0.8445807770961146,0.8001134991538239,0.0,ORF|Uncharacterized,Predicted subunit of the mitochondrial inner membrane peptidase complex involved in protein targeting to mitochondria
C5_00870C_A,GIT4,,,,,No,tgp1,No,25,2202,1599,0.546988765788837,0,396,0.24765478424015008,0.2476545762386076,0.2963715549144069,ORF|Verified,"Glycerophosphocholine transporter; fungal-specific (no human or murine homolog); possibly an essential gene, disruptants not obtained by UAU1 method; Hap43p-repressed gene"
C5_00880C_A,GIT3,,,,,No,tgp1,No,9,458,1608,0.1878837418259871,3,613,0.3812189054726368,0.3812186128500861,0.15995508850457285,ORF|Verified,"Glycerophosphocholine permease; white cell specific transcript; fungal-specific; alkaline repressed; caspofungin, macrophage/pseudohyphal-repressed; flow model biofilm induced; Spider biofilm induced"
C5_00890C_A,GIT2,,,,,No,tgp1,No,16,1387,1605,0.3077630726128499,3,228,0.14205607476635515,0.14205596240369925,0.15925291904376995,ORF|Uncharacterized,Putative glycerophosphoinositol permease; fungal-specific; repressed by alpha pheromone in SpiderM medium; Hap43-repressed; Spider biofilm induced
C5_00900C_A,URA4,URA4,,,0.9990,No,ura2,No,8,463,1077,0.22250791610123086,9,256,0.23769730733519034,0.23766039307196,0.14757541995880238,ORF|Uncharacterized,Dihydroorotase; protein present in exponential and stationary growth phase yeast cultures
C5_00910C_A,TRX2,,,,,,txl1,No,3,202,357,0.2376088159814824,0,174,0.48739495798319327,0.40345755697004276,0.0,ORF|Uncharacterized,Similar to thioredoxins; not expected to be enzymatically active because it lacks a canonical thioredoxin active site (Trp-Cys-Gly-Pro-Cys); TRX1 encodes all of the cytoplasmic/nuclear thioredoxin function in C. albicans; Hap43p-induced
C5_00920W_A,,DIB1,,,,No,dim1,Yes,4,436,447,0.2537001644517534,0,409,0.9149888143176734,0.8436304515259265,0.0,ORF|Uncharacterized,"Ortholog(s) have role in mRNA splicing, via spliceosome, regulation of DNA methylation and U4/U6 x U5 tri-snRNP complex, U5 snRNP localization"
C5_00930C_A,TFS1,TFS1,,No,1.0100,,,,13,2130,780,0.47063740856844305,6,236,0.30256410256410254,0.3016508381376523,0.3634282985750122,ORF|Uncharacterized,Putative carboxypeptidase y inhibitor; transcript regulated upon yeast-hypha switch; colony morphology-related gene regulation by Ssn6
C5_00940C_A,HAP5,HAP5,,,0.8255,No,php5,No,14,539,1047,0.3811949485301921,5,304,0.2903533906399236,0.290292526485411,0.26819625545746145,ORF|Verified,"Component of CCAAT-binding transcription factor; roles in filamentous growth, low-iron induction of FRP1; regulates genes involved in respiratory growth; functional homolog of S. cerevisiae Hap5p; Cap1p-dependent expression in low iron"
C5_00950C_A,,SET5,,,1.0225,,set5,No,16,2476,1422,0.3195180097954135,11,372,0.2616033755274262,0.26160208560785175,0.24825266214128733,ORF|Uncharacterized,"Ortholog(s) have S-adenosylmethionine-dependent methyltransferase activity, role in histone lysine methylation and cytoplasm, nuclear chromatin localization"
C5_00960W_A,tE(UUC)4,,,,,,,,0,0,94,0.0,10,72,1.0,0.21755022357688752,0.0,tRNA|Uncharacterized,"tRNA-Glu, predicted by tRNAscan-SE; UUC anticodon"
C5_00970W_A,tE(UUC)3,,,,,,,,1,112,94,0.3805161544523246,2,54,0.75,0.16316266768266566,0.0,tRNA|Uncharacterized,"tRNA-Glu, predicted by tRNAscan-SE; UUC anticodon"
C5_00980W_A,TRY3,,,,,No,SPAC6B12.07c,No,8,912,1485,0.1534203826886754,10,325,0.21885521885521886,0.21885464411488703,0.13909880124636864,ORF|Verified,RING-finger transcription factor; regulator of yeast form adherence; required for yeast cell adherence to silicone substrate; Spider biofilm induced
